OBJECTID,KHETNAME,KHETCODE,SROKCODE,KHUMCODE,KHUMNAME,SROKNAME,Perimet,Area,Ha,headwork,history,health,irripro,pagoda,school,canal,building,FAM19,MAL19,FEM19,FAM17,MAL17,FEM17,vilage_n,settel_h,orchard,crop,paddy_h,urban_h,srok,khum,khet,para,area_1,hect,lat,long,lat1,long1
"1390",Siemreap,"17","1709","170905",Kantreang,Prasat Bakong,22483.345928,27708102.173800,2770.810217,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,148.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.720000,0.000000,0.000000,1323.420000,15.210000,Prasat Bakong,Kantreang,Siemreap,22483.346,27708102.174,2770.810,13.350000,104.0380,13.890,103.640
"1391",Siemreap,"17","1710","171002",Svay Dankum,Siem Reab,34517.180136,32107357.515800,3210.735752,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,4038.410000,305.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,752.040000,15.470000,Siem Reab,Svay Dankum,Siemreap,34517.180,32107357.516,3210.736,13.329000,103.8240,13.890,103.640
"1392",Siemreap,"17","1709","170902",Bakong,Prasat Bakong,23040.335056,25310575.908000,2531.057591,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,351.000000,446.000000,956.000000,964.000000,423.000000,932.000000,947.000000,2.000000,45.330000,0.000000,0.000000,620.760000,52.140000,Prasat Bakong,Bakong,Siemreap,23040.335,25310575.908,2531.058,13.357000,103.9890,13.890,103.640
"1393",Siemreap,"17","1710","171012",Krabei Riel,Siem Reab,24347.378019,30114579.991100,3011.457999,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.310000,54.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,979.160000,0.000000,Siem Reab,Krabei Riel,Siemreap,24347.378,30114579.991,3011.458,13.355000,103.7760,13.890,103.640
"1395",Battambang,"02","0205","020506",Prey Chas,Aek Phnum,92213.482905,324282599.235000,32428.259924,0.000000,1.000000,1.000000,0.000000,2.000000,4.000000,0.000000,21.000000,1250.000000,2865.000000,2581.000000,1221.000000,2909.000000,2905.000000,5.000000,0.000000,0.000000,75.030000,611.030000,14.330000,Aek Phnum,Prey Chas,Battambang,92213.483,324282599.235,32428.260,13.307000,103.3900,13.360,102.870
"1396",Battambang,"02","0202","020206",Chrouy Sdau,Thma Koul,65083.432177,107400299.551000,10740.029955,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.680000,12.000000,1400.000000,3186.000000,3277.000000,1355.000000,3118.000000,3313.000000,2.000000,565.690000,0.000000,0.000000,5685.490000,23.730000,Thma Koul,Chrouy Sdau,Battambang,65083.432,107400299.551,10740.030,13.354000,103.1330,13.360,102.870
"1397",Siemreap,"17","1710","171010",Srangae,Siem Reab,42658.099016,37587801.023300,3758.780102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3137.640000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1108.860000,0.000000,Siem Reab,Srangae,Siemreap,42658.099,37587801.023,3758.780,13.306000,103.7750,13.890,103.640
"1399",Siemreap,"17","1707","170704",Kaev Poar,Puok,47462.119787,104176329.476000,10417.632948,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,8876.060000,77.000000,569.000000,1399.000000,1416.000000,509.000000,1355.000000,1394.000000,3.000000,0.000000,0.000000,0.000000,3983.860000,19.840000,Puok,Kaev Poar,Siemreap,47462.120,104176329.476,10417.633,13.324000,103.7140,13.890,103.640
"1404",Battambang,"02","0204","020404",Prey Khpos,Bavel,59923.933972,118439142.057000,11843.914206,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,1.360000,275.000000,1716.000000,3853.000000,3949.000000,1903.000000,3700.000000,3731.000000,6.000000,208.560000,42.430000,0.000000,3707.510000,46.560000,Bavel,Prey Khpos,Battambang,59923.934,118439142.057,11843.914,13.340000,102.8050,13.360,102.870
"1405",Siemreap,"17","1704","170409",Pongro Leu,Chi Kraeng,102308.950164,383480523.590000,38348.052359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6896.200000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.580000,636.560000,0.010000,Chi Kraeng,Pongro Leu,Siemreap,102308.950,383480523.590,38348.052,13.286000,104.4350,13.890,103.640
